females expectedyear
2 320.000000
3 986.666667
4 2986.666667
5 9349.333333
6 30442.666667
7 102454.095238
8 353670.095237
9 1244612.317483
10 4445524.317756
11 16066103.020264
12 58617009.716410
13 215548503.182549
14 797868807.291138
15 2970036328.956257
