max.pop	max.age	min.rep	max.rep	fertility	survival.time
20	50	20	40	0.2	14044
20	60	20	40	0.2	1335
20	70	20	40	0.2	1357
20	80	20	40	0.2	901
20	90	20	40	0.2	99
20	100	20	40	0.2	96
20	50	20	40	0.2	5680
20	60	20	40	0.2	5171
20	70	20	40	0.2	506
20	80	20	40	0.2	604
20	90	20	40	0.2	756
20	100	20	40	0.2	182
20	50	20	40	0.2	2010
20	60	20	40	0.2	4664
20	70	20	40	0.2	2825
20	80	20	40	0.2	363
20	90	20	40	0.2	1615
20	100	20	40	0.2	282
20	50	20	40	0.2	6228
20	60	20	40	0.2	4309
20	70	20	40	0.2	1159
20	80	20	40	0.2	1565
20	90	20	40	0.2	351
20	100	20	40	0.2	352
20	50	20	40	0.2	600
20	60	20	40	0.2	3147
20	70	20	40	0.2	2818
20	80	20	40	0.2	622
20	90	20	40	0.2	918
20	100	20	40	0.2	170
20	50	20	40	0.2	29528
20	60	20	40	0.2	1305
20	70	20	40	0.2	299
20	80	20	40	0.2	305
20	90	20	40	0.2	2036
20	100	20	40	0.2	450
20	50	20	40	0.2	3343
20	60	20	40	0.2	3430
20	70	20	40	0.2	2585
20	80	20	40	0.2	593
20	90	20	40	0.2	704
20	100	20	40	0.2	627
20	50	20	40	0.2	1500
20	60	20	40	0.2	5489
20	70	20	40	0.2	471
20	80	20	40	0.2	1355
20	90	20	40	0.2	111
20	100	20	40	0.2	176
20	50	20	40	0.2	391
20	60	20	40	0.2	2805
20	70	20	40	0.2	2033
20	80	20	40	0.2	498
20	90	20	40	0.2	169
20	100	20	40	0.2	295
20	50	20	40	0.2	18796
20	60	20	40	0.2	2511
20	70	20	40	0.2	211
20	80	20	40	0.2	320
20	90	20	40	0.2	1105
20	100	20	40	0.2	270
20	50	20	40	0.2	14558
20	60	20	40	0.2	4830
20	70	20	40	0.2	104
20	80	20	40	0.2	1508
20	90	20	40	0.2	140
20	100	20	40	0.2	907
20	50	20	40	0.2	5030
20	60	20	40	0.2	2203
20	70	20	40	0.2	98
20	80	20	40	0.2	925
20	90	20	40	0.2	685
20	100	20	40	0.2	858
20	50	20	40	0.2	10693
20	60	20	40	0.2	3335
20	70	20	40	0.2	525
20	80	20	40	0.2	64
20	90	20	40	0.2	625
20	100	20	40	0.2	144
20	50	20	40	0.2	36514
20	60	20	40	0.2	942
20	70	20	40	0.2	3029
20	80	20	40	0.2	661
20	90	20	40	0.2	225
20	100	20	40	0.2	545
20	50	20	40	0.2	1656
20	60	20	40	0.2	9251
20	70	20	40	0.2	505
20	80	20	40	0.2	129
20	90	20	40	0.2	1851
20	100	20	40	0.2	771
20	50	20	40	0.2	21037
20	60	20	40	0.2	1295
20	70	20	40	0.2	1344
20	80	20	40	0.2	1784
20	90	20	40	0.2	623
20	100	20	40	0.2	715
20	50	20	40	0.2	1686
20	60	20	40	0.2	795
20	70	20	40	0.2	1240
20	80	20	40	0.2	226
20	90	20	40	0.2	826
20	100	20	40	0.2	227
20	50	20	40	0.2	3252
20	60	20	40	0.2	4924
20	70	20	40	0.2	2512
20	80	20	40	0.2	1256
20	90	20	40	0.2	1470
20	100	20	40	0.2	387
20	50	20	40	0.2	20989
20	60	20	40	0.2	501
20	70	20	40	0.2	5224
20	80	20	40	0.2	733
20	90	20	40	0.2	1498
20	100	20	40	0.2	1272
20	50	20	40	0.2	14178
20	60	20	40	0.2	1102
20	70	20	40	0.2	257
20	80	20	40	0.2	2541
20	90	20	40	0.2	922
20	100	20	40	0.2	328
20	50	20	40	0.2	7352
20	60	20	40	0.2	527
20	70	20	40	0.2	1930
20	80	20	40	0.2	938
20	90	20	40	0.2	789
20	100	20	40	0.2	194
20	50	20	40	0.2	131
20	60	20	40	0.2	3197
20	70	20	40	0.2	2517
20	80	20	40	0.2	1567
20	90	20	40	0.2	200
20	100	20	40	0.2	744
20	50	20	40	0.2	1433
20	60	20	40	0.2	2549
20	70	20	40	0.2	1512
20	80	20	40	0.2	2473
20	90	20	40	0.2	437
20	100	20	40	0.2	610
20	50	20	40	0.2	4987
20	60	20	40	0.2	7771
20	70	20	40	0.2	1769
20	80	20	40	0.2	1483
20	90	20	40	0.2	376
20	100	20	40	0.2	302
20	50	20	40	0.2	5587
20	60	20	40	0.2	2405
20	70	20	40	0.2	182
20	80	20	40	0.2	911
20	90	20	40	0.2	148
20	100	20	40	0.2	208
20	50	20	40	0.2	1220
20	60	20	40	0.2	787
20	70	20	40	0.2	550
20	80	20	40	0.2	407
20	90	20	40	0.2	167
20	100	20	40	0.2	696
20	50	20	40	0.2	5444
20	60	20	40	0.2	1750
20	70	20	40	0.2	300
20	80	20	40	0.2	110
20	90	20	40	0.2	1418
20	100	20	40	0.2	152
20	50	20	40	0.2	1497
20	60	20	40	0.2	305
20	70	20	40	0.2	1111
20	80	20	40	0.2	216
20	90	20	40	0.2	577
20	100	20	40	0.2	178
20	50	20	40	0.2	16370
20	60	20	40	0.2	1617
20	70	20	40	0.2	998
20	80	20	40	0.2	969
20	90	20	40	0.2	513
20	100	20	40	0.2	234
20	50	20	40	0.2	10064
20	60	20	40	0.2	3200
20	70	20	40	0.2	1108
20	80	20	40	0.2	382
20	90	20	40	0.2	96
20	100	20	40	0.2	158
20	50	20	40	0.2	1700
20	60	20	40	0.2	5435
20	70	20	40	0.2	1151
20	80	20	40	0.2	572
20	90	20	40	0.2	660
20	100	20	40	0.2	361
20	50	20	40	0.2	7078
20	60	20	40	0.2	3373
20	70	20	40	0.2	366
20	80	20	40	0.2	1035
20	90	20	40	0.2	816
20	100	20	40	0.2	402
20	50	20	40	0.2	19958
20	60	20	40	0.2	4099
20	70	20	40	0.2	2528
20	80	20	40	0.2	439
20	90	20	40	0.2	278
20	100	20	40	0.2	1496
20	50	20	40	0.2	17305
20	60	20	40	0.2	5119
20	70	20	40	0.2	1671
20	80	20	40	0.2	706
20	90	20	40	0.2	313
20	100	20	40	0.2	302
20	50	20	40	0.2	12763
20	60	20	40	0.2	833
20	70	20	40	0.2	2344
20	80	20	40	0.2	486
20	90	20	40	0.2	1792
20	100	20	40	0.2	582
20	50	20	40	0.2	7269
20	60	20	40	0.2	638
20	70	20	40	0.2	1709
20	80	20	40	0.2	88
20	90	20	40	0.2	1713
20	100	20	40	0.2	183
20	50	20	40	0.2	10383
20	60	20	40	0.2	6869
