max.pop	max.age	min.rep	max.rep	fertility	survival.time
24	80	20	40	0.2	3095
28	80	20	40	0.2	1059
32	80	20	40	0.2	3168
4	80	20	40	0.2	84
8	80	20	40	0.2	276
12	80	20	40	0.2	159
16	80	20	40	0.2	116
20	80	20	40	0.2	286
24	80	20	40	0.2	435
28	80	20	40	0.2	522
32	80	20	40	0.2	4759
4	80	20	40	0.2	36
8	80	20	40	0.2	72
12	80	20	40	0.2	126
16	80	20	40	0.2	415
20	80	20	40	0.2	811
24	80	20	40	0.2	1103
28	80	20	40	0.2	1755
32	80	20	40	0.2	4445
4	80	20	40	0.2	137
8	80	20	40	0.2	160
12	80	20	40	0.2	130
16	80	20	40	0.2	320
20	80	20	40	0.2	828
24	80	20	40	0.2	318
28	80	20	40	0.2	1063
32	80	20	40	0.2	171
4	80	20	40	0.2	71
8	80	20	40	0.2	163
12	80	20	40	0.2	388
16	80	20	40	0.2	436
20	80	20	40	0.2	3107
24	80	20	40	0.2	309
28	80	20	40	0.2	1094
32	80	20	40	0.2	11074
4	80	20	40	0.2	151
8	80	20	40	0.2	95
12	80	20	40	0.2	127
16	80	20	40	0.2	226
20	80	20	40	0.2	297
24	80	20	40	0.2	1197
28	80	20	40	0.2	2650
32	80	20	40	0.2	650
4	80	20	40	0.2	55
8	80	20	40	0.2	83
12	80	20	40	0.2	217
16	80	20	40	0.2	141
20	80	20	40	0.2	388
24	80	20	40	0.2	98
28	80	20	40	0.2	2584
32	80	20	40	0.2	9000
4	80	20	40	0.2	133
8	80	20	40	0.2	69
12	80	20	40	0.2	96
16	80	20	40	0.2	255
20	80	20	40	0.2	100
24	80	20	40	0.2	3245
28	80	20	40	0.2	3590
32	80	20	40	0.2	8286
4	80	20	40	0.2	61
8	80	20	40	0.2	77
12	80	20	40	0.2	320
16	80	20	40	0.2	170
20	80	20	40	0.2	1396
24	80	20	40	0.2	5218
28	80	20	40	0.2	1017
32	80	20	40	0.2	3572
4	80	20	40	0.2	101
8	80	20	40	0.2	152
12	80	20	40	0.2	153
16	80	20	40	0.2	1163
20	80	20	40	0.2	670
24	80	20	40	0.2	1186
28	80	20	40	0.2	2202
32	80	20	40	0.2	4215
4	80	20	40	0.2	67
8	80	20	40	0.2	195
12	80	20	40	0.2	203
16	80	20	40	0.2	525
20	80	20	40	0.2	1436
24	80	20	40	0.2	1435
28	80	20	40	0.2	3037
32	80	20	40	0.2	3202
4	80	20	40	0.2	75
8	80	20	40	0.2	74
12	80	20	40	0.2	107
16	80	20	40	0.2	181
20	80	20	40	0.2	361
24	80	20	40	0.2	382
28	80	20	40	0.2	1401
32	80	20	40	0.2	451
4	80	20	40	0.2	76
8	80	20	40	0.2	420
12	80	20	40	0.2	234
16	80	20	40	0.2	882
20	80	20	40	0.2	745
24	80	20	40	0.2	1828
28	80	20	40	0.2	662
32	80	20	40	0.2	810
4	80	20	40	0.2	55
8	80	20	40	0.2	87
12	80	20	40	0.2	168
16	80	20	40	0.2	582
20	80	20	40	0.2	152
24	80	20	40	0.2	1050
28	80	20	40	0.2	2152
32	80	20	40	0.2	1074
4	80	20	40	0.2	45
8	80	20	40	0.2	53
12	80	20	40	0.2	484
16	80	20	40	0.2	752
20	80	20	40	0.2	1803
24	80	20	40	0.2	2108
28	80	20	40	0.2	528
32	80	20	40	0.2	2409
4	80	20	40	0.2	29
8	80	20	40	0.2	93
12	80	20	40	0.2	100
16	80	20	40	0.2	426
20	80	20	40	0.2	288
24	80	20	40	0.2	353
28	80	20	40	0.2	2784
32	80	20	40	0.2	670
4	80	20	40	0.2	108
8	80	20	40	0.2	67
12	80	20	40	0.2	97
16	80	20	40	0.2	589
20	80	20	40	0.2	207
24	80	20	40	0.2	286
28	80	20	40	0.2	11481
32	80	20	40	0.2	7809
4	80	20	40	0.2	79
8	80	20	40	0.2	173
12	80	20	40	0.2	120
16	80	20	40	0.2	250
20	80	20	40	0.2	1593
24	80	20	40	0.2	378
28	80	20	40	0.2	2021
32	80	20	40	0.2	7966
4	80	20	40	0.2	91
8	80	20	40	0.2	541
12	80	20	40	0.2	164
16	80	20	40	0.2	559
20	80	20	40	0.2	1400
24	80	20	40	0.2	277
28	80	20	40	0.2	848
32	80	20	40	0.2	198
4	80	20	40	0.2	99
8	80	20	40	0.2	114
12	80	20	40	0.2	390
16	80	20	40	0.2	378
20	80	20	40	0.2	649
24	80	20	40	0.2	2798
28	80	20	40	0.2	2929
32	80	20	40	0.2	2823
4	80	20	40	0.2	67
8	80	20	40	0.2	307
12	80	20	40	0.2	279
16	80	20	40	0.2	509
20	80	20	40	0.2	2094
24	80	20	40	0.2	1701
28	80	20	40	0.2	1811
32	80	20	40	0.2	2614
4	80	20	40	0.2	77
8	80	20	40	0.2	167
12	80	20	40	0.2	112
16	80	20	40	0.2	381
20	80	20	40	0.2	295
24	80	20	40	0.2	187
28	80	20	40	0.2	546
32	80	20	40	0.2	1399
4	80	20	40	0.2	69
8	80	20	40	0.2	303
12	80	20	40	0.2	138
16	80	20	40	0.2	1163
20	80	20	40	0.2	496
24	80	20	40	0.2	2818
28	80	20	40	0.2	3398
32	80	20	40	0.2	3253
4	80	20	40	0.2	78
8	80	20	40	0.2	531
12	80	20	40	0.2	95
16	80	20	40	0.2	328
20	80	20	40	0.2	500
24	80	20	40	0.2	881
28	80	20	40	0.2	1286
32	80	20	40	0.2	468
4	80	20	40	0.2	187
8	80	20	40	0.2	272
12	80	20	40	0.2	329
16	80	20	40	0.2	98
20	80	20	40	0.2	289
24	80	20	40	0.2	3753
28	80	20	40	0.2	658
32	80	20	40	0.2	5986
4	80	20	40	0.2	74
8	80	20	40	0.2	27
12	80	20	40	0.2	179
16	80	20	40	0.2	119
20	80	20	40	0.2	292
24	80	20	40	0.2	2466
28	80	20	40	0.2	648
32	80	20	40	0.2	6256
4	80	20	40	0.2	72
8	80	20	40	0.2	89
12	80	20	40	0.2	96
16	80	20	40	0.2	348
20	80	20	40	0.2	932
24	80	20	40	0.2	2704
28	80	20	40	0.2	3165
32	80	20	40	0.2	1060
4	80	20	40	0.2	136
8	80	20	40	0.2	106
12	80	20	40	0.2	260
16	80	20	40	0.2	112
20	80	20	40	0.2	1852
24	80	20	40	0.2	1246
28	80	20	40	0.2	6895
32	80	20	40	0.2	2515
4	80	20	40	0.2	88
8	80	20	40	0.2	45
12	80	20	40	0.2	167
16	80	20	40	0.2	1710
20	80	20	40	0.2	502
24	80	20	40	0.2	1198
28	80	20	40	0.2	944
32	80	20	40	0.2	6949
4	80	20	40	0.2	64
8	80	20	40	0.2	201
12	80	20	40	0.2	162
16	80	20	40	0.2	92
20	80	20	40	0.2	574
24	80	20	40	0.2	1049
28	80	20	40	0.2	681
32	80	20	40	0.2	1501
4	80	20	40	0.2	99
8	80	20	40	0.2	126
12	80	20	40	0.2	144
16	80	20	40	0.2	1500
20	80	20	40	0.2	229
24	80	20	40	0.2	1670
28	80	20	40	0.2	1035
32	80	20	40	0.2	2183
4	80	20	40	0.2	219
8	80	20	40	0.2	262
12	80	20	40	0.2	563
16	80	20	40	0.2	71
20	80	20	40	0.2	1820
24	80	20	40	0.2	1562
28	80	20	40	0.2	2086
32	80	20	40	0.2	6706
4	80	20	40	0.2	73
8	80	20	40	0.2	63
12	80	20	40	0.2	244
16	80	20	40	0.2	813
20	80	20	40	0.2	2229
24	80	20	40	0.2	180
28	80	20	40	0.2	4132
32	80	20	40	0.2	265
4	80	20	40	0.2	52
8	80	20	40	0.2	159
12	80	20	40	0.2	145
16	80	20	40	0.2	949
20	80	20	40	0.2	88
24	80	20	40	0.2	1569
28	80	20	40	0.2	3078
32	80	20	40	0.2	2939
4	80	20	40	0.2	100
8	80	20	40	0.2	862
12	80	20	40	0.2	103
16	80	20	40	0.2	485
20	80	20	40	0.2	293
24	80	20	40	0.2	261
28	80	20	40	0.2	2410
32	80	20	40	0.2	5992
4	80	20	40	0.2	90
8	80	20	40	0.2	46
12	80	20	40	0.2	70
16	80	20	40	0.2	288
20	80	20	40	0.2	123
24	80	20	40	0.2	283
28	80	20	40	0.2	4085
32	80	20	40	0.2	994
4	80	20	40	0.2	88
8	80	20	40	0.2	200
12	80	20	40	0.2	505
16	80	20	40	0.2	169
20	80	20	40	0.2	1143
24	80	20	40	0.2	420
28	80	20	40	0.2	1863
32	80	20	40	0.2	811
4	80	20	40	0.2	62
8	80	20	40	0.2	526
12	80	20	40	0.2	140
16	80	20	40	0.2	305
20	80	20	40	0.2	1029
24	80	20	40	0.2	361
28	80	20	40	0.2	978
32	80	20	40	0.2	4606
4	80	20	40	0.2	49
8	80	20	40	0.2	157
12	80	20	40	0.2	658
16	80	20	40	0.2	540
20	80	20	40	0.2	806
24	80	20	40	0.2	2745
28	80	20	40	0.2	2015
32	80	20	40	0.2	364
4	80	20	40	0.2	105
8	80	20	40	0.2	202
12	80	20	40	0.2	438
16	80	20	40	0.2	538
20	80	20	40	0.2	573
24	80	20	40	0.2	6017
28	80	20	40	0.2	1776
32	80	20	40	0.2	6755
4	80	20	40	0.2	77
8	80	20	40	0.2	145
12	80	20	40	0.2	129
16	80	20	40	0.2	123
20	80	20	40	0.2	660
24	80	20	40	0.2	2100
28	80	20	40	0.2	1741
32	80	20	40	0.2	96
4	80	20	40	0.2	77
8	80	20	40	0.2	201
12	80	20	40	0.2	143
16	80	20	40	0.2	108
20	80	20	40	0.2	577
24	80	20	40	0.2	1348
28	80	20	40	0.2	3409
32	80	20	40	0.2	6999
4	80	20	40	0.2	90
8	80	20	40	0.2	157
12	80	20	40	0.2	87
16	80	20	40	0.2	252
20	80	20	40	0.2	337
24	80	20	40	0.2	1821
28	80	20	40	0.2	1070
32	80	20	40	0.2	4330
4	80	20	40	0.2	77
8	80	20	40	0.2	92
12	80	20	40	0.2	212
16	80	20	40	0.2	544
20	80	20	40	0.2	674
24	80	20	40	0.2	1673
28	80	20	40	0.2	1577
32	80	20	40	0.2	5008
4	80	20	40	0.2	67
8	80	20	40	0.2	57
12	80	20	40	0.2	181
16	80	20	40	0.2	418
